Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Los Angeles FC,34,21,4,9,66,38,28,67,1.97,62.2,34.6,27.6,0.81,20791,Cristian Arango - 16,Maxime Crépeau,→ Conference Semifinals
2,Austin,34,16,8,10,65,49,16,56,1.65,50.9,52.7,-1.7,-0.05,20738,Sebastián Driussi - 22,Brad Stuver,→ First Round
3,FC Dallas,34,14,11,9,48,37,11,53,1.56,42.4,43.6,-1.1,-0.03,16469,Jesús Ferreira - 18,Maarten Paes,→ First Round
4,LA Galaxy,34,14,8,12,58,51,7,50,1.47,59.6,48.3,11.3,0.33,22841,Javier Hernández - 18,Jonathan Bond,→ First Round
5,Nashville,34,13,11,10,52,41,11,50,1.47,52.6,44.3,8.2,0.24,27554,Hany Mukhtar - 23,Joe Willis,→ First Round
6,Minnesota Utd,34,14,6,14,48,51,-3,48,1.41,45.6,48.7,-3.1,-0.09,18405,Emanuel Reynoso - 10,Dayne St. Clair,→ First Round
7,Real Salt Lake,34,12,11,11,43,45,-2,47,1.38,45.1,44.6,0.5,0.01,20470,Sergio Córdova - 9,Zac MacMath,→ First Round
8,Portland Timbers,34,11,13,10,53,53,0,46,1.35,50.3,51.8,-1.5,-0.04,23841,Dairon Asprilla - 10,Aljaž Ivačič,
9,Vancouver,34,12,7,15,40,57,-17,43,1.26,38.3,50,-11.7,-0.35,16399,Lucas Cavallini - 9,Thomas Hasal,
10,Colorado Rapids,34,11,10,13,46,57,-11,43,1.26,50.8,52.1,-1.3,-0.04,14473,Diego Rubio - 16,William Yarbrough,
11,Seattle,34,12,5,17,47,46,1,41,1.21,47.8,52.5,-4.7,-0.14,33607,Raúl Ruidíaz - 9,Stefan Frei,
12,Sporting KC,34,11,7,16,42,54,-12,40,1.18,38.8,46.4,-7.6,-0.22,18365,Johnny Russell William Agada - 8,Tim Melia,
13,Houston Dynamo,34,10,6,18,43,56,-13,36,1.06,44.3,57.2,-12.9,-0.38,16426,Sebastián Ferreira - 13,Steve Clark,
14,San Jose,34,8,11,15,52,69,-17,35,1.03,44.9,60.8,-15.9,-0.47,15260,Jeremy Ebobisse - 17,J.T. Marcinkowski,
